TRUTH,SELL,LIMIT,IOC,3175,0.0216980,0.0219340,FILLED,3175,3175,1765417331720,68.89115
TRUTH,SELL,LIMIT,IOC,247,0.0215950,0.0219520,FILLED,247,247,1765417333154,5.333965
COAI,SELL,LIMIT,IOC,151,0.4649000,0.4896000,FILLED,151,151,1765417336825,70.1999
TRUTH,SELL,LIMIT,IOC,227,0.0215920,0.0218830,FILLED,227,227,1765417336987,4.901384
PIPPIN,SELL,LIMIT,IOC,61,0.3150700,0.3194700,FILLED,61,61,1765417337065,19.21927
PIPPIN,SELL,LIMIT,IOC,17185,0.3146800,0.3185481,FILLED,5252,17185,1765417343091,5407.7758
BEAT,SELL,LIMIT,IOC,359,1.6632000,1.6931718,FILLED,60,359,1765417343209,597.0888
PIPPIN,SELL,LIMIT,IOC,8085,0.3136100,0.3192663,FILLED,2711,8085,1765417345138,2535.53685
TRUTH,SELL,LIMIT,IOC,67507,0.0210990,0.0220406,FILLED,9146,67507,1765417345688,1424.330193
PIPPIN,SELL,LIMIT,IOC,16354,0.3162200,0.3193203,FILLED,838,16354,1765417348824,5171.46188
B,BUY,LIMIT,IOC,2921,0.2326000,0.2309929,FILLED,694,2921,1765417352213,679.4246
LIGHT,SELL,LIMIT,IOC,520,0.9002000,0.9120563,FILLED,98,520,1765417352453,468.104
LUNA2,SELL,LIMIT,IOC,1582,0.1906670,0.1933471,FILLED,511,1582,1765417352482,301.635194
SPX,SELL,LIMIT,IOC,79,0.5981000,0.6038000,FILLED,62,79,1765417352559,47.2499
LUNA2,SELL,LIMIT,IOC,11173,0.1905700,0.1933668,FILLED,606,11173,1765417354182,2129.23861
PIPPIN,SELL,LIMIT,IOC,20168,0.3127900,0.3178395,FILLED,628,20168,1765417357290,6308.34872
B,BUY,LIMIT,IOC,306,0.2335000,0.2314000,FILLED,282,306,1765417361279,71.45100000000001
DOOD,SELL,LIMIT,IOC,1219,0.0049100,0.0049710,FILLED,1219,1219,1765417363749,5.98529
PIPPIN,SELL,LIMIT,IOC,14033,0.3129200,0.3174943,FILLED,112,14033,1765417364087,4391.206359999999
ASTER,SELL,LIMIT,IOC,138,0.9179343,0.9272000,FILLED,138,138,1765417364496,126.6749334
PIPPIN,SELL,LIMIT,IOC,804,0.3128200,0.3174900,FILLED,225,804,1765417365510,251.50727999999998
DOOD,SELL,LIMIT,IOC,1219,0.0049080,0.0049730,FILLED,1219,1219,1765417366337,5.982852
TRUTH,SELL,LIMIT,IOC,4370,0.0209460,0.0220004,FILLED,370,4370,1765417367468,91.53402
RVV,SELL,LIMIT,IOC,31790,0.0034820,0.0036555,FILLED,11625,31790,1765417368368,110.69278
COMMON,SELL,LIMIT,IOC,5367,0.0045960,0.0046670,FILLED,5367,5367,1765417368368,24.666732
PIPPIN,SELL,LIMIT,IOC,220,0.3124900,0.3162300,FILLED,220,220,1765417374067,68.7478
PIPPIN,SELL,LIMIT,IOC,467,0.3121463,0.3167200,FILLED,463,467,1765417375724,145.7723221
PIPPIN,SELL,LIMIT,IOC,4618,0.3241700,0.3241700,FILLED,4618,4618,1765417377368,1497.0170600000001
PIPPIN,SELL,LIMIT,IOC,5924,0.3115900,0.3183130,FILLED,259,5924,1765417384044,1845.85916
PIPPIN,SELL,LIMIT,IOC,22969,0.3105700,0.3184926,FILLED,126,22969,1765417385078,7133.482330000001
USTC,SELL,LIMIT,IOC,4760,0.0101040,0.0102290,FILLED,4760,4760,1765417386465,48.09504
TRUTH,SELL,LIMIT,IOC,9311,0.0209490,0.0220160,FILLED,7311,9311,1765417395435,195.056139
PIPPIN,BUY,LIMIT,IOC,310,0.3236500,0.3193823,FILLED,74,310,1765417400114,100.33149999999999
LUNA2,SELL,LIMIT,IOC,743,0.1899500,0.1927600,FILLED,170,743,1765417403058,141.13285000000002
NIGHT,SELL,LIMIT,IOC,101,0.0639500,0.0648300,FILLED,101,101,1765417406336,6.458950000000001
ZEC,SELL,LIMIT,IOC,36.793,388.41,392.15,FILLED,6.548,36.793,1765417410126,14290.76913
PIPPIN,SELL,LIMIT,IOC,775,0.3138400,0.3184700,FILLED,196,775,1765417411307,243.226
ZEC,SELL,LIMIT,IOC,1.905,388.30,392.09,FILLED,1.712,1.905,1765417411307,739.7115
TRUTH,SELL,LIMIT,IOC,7472,0.0209340,0.0219846,FILLED,5402,7472,1765417415673,156.418848
COAI,SELL,LIMIT,IOC,1238,0.4648000,0.4892777,FILLED,276,1238,1765417421318,575.4224
ZEC,SELL,LIMIT,IOC,11.785,388.20,391.48,FILLED,0.113,11.785,1765417425565,4574.937
OP,SELL,LIMIT,IOC,257.8,0.3121000,0.3136000,FILLED,256.8,257.8,1765417426333,80.45938
ASTER,SELL,LIMIT,IOC,55,0.9186000,0.9265000,FILLED,34,55,1765417426333,50.522999999999996
ZEC,SELL,LIMIT,IOC,0.159,388.13,391.23,FILLED,0.159,0.159,1765417426591,61.71267
ZEC,SELL,LIMIT,IOC,2.415,387.43,391.06,FILLED,0.372,2.415,1765417428063,935.64345
ASTER,SELL,LIMIT,IOC,12,0.9174000,0.9262000,FILLED,11,12,1765417431226,11.0088
ZEC,SELL,LIMIT,IOC,0.100,387.39,391.03,FILLED,0.075,0.100,1765417431595,38.739000000000004
ZEC,SELL,LIMIT,IOC,0.102,387.38,391.00,FILLED,0.102,0.102,1765417433039,39.51276
ASTER,SELL,LIMIT,IOC,142,0.9168000,0.9259000,FILLED,125,142,1765417433507,130.1856
ZEC,SELL,LIMIT,IOC,0.742,387.27,391.05,FILLED,0.742,0.742,1765417434182,287.35434
